"Field1_Text_Text","Field1_Link_Link"
"Casting for Ramen NYC Corporate Video","https://newyork.craigslist.org/mnh/tlg/d/new-york-casting-for-ramen-nyc/7060419149.html"
"We are looking to put together a short creative video for Kickstarter","https://newyork.craigslist.org/mnh/cwg/d/new-york-we-are-looking-to-put-together/7060213016.html"
"Need Female  for Music video clip","https://syracuse.craigslist.org/tlg/d/syracuse-need-female-for-music-video/7060610062.html"
"Need Someone to Teach Me How to Edit Video and Create *Landing Pages *","https://sfbay.craigslist.org/eby/cpg/d/hayward-need-someone-to-teach-me-how-to/7060580630.html"
"***TALENT NEEDED FOR KAUAI VIDEO PRODUCTION***","https://honolulu.craigslist.org/kau/tlg/d/waimea-talent-needed-for-kauai-video/7060557187.html"
"***TALENT NEEDED FOR MAUI VIDEO PRODUCTION***","https://honolulu.craigslist.org/mau/tlg/d/kihei-talent-needed-for-maui-video/7060554949.html"
"Needed Illustrator (or comic book artist)","https://atlanta.craigslist.org/atl/crg/d/atlanta-needed-illustrator-or-comic/7060576602.html"
"Video production editor","https://columbia.craigslist.org/crg/d/columbia-video-production-editor/7060455807.html"
"Real Estate Photographer/ Videographer Needed! ... HOMEJAB.com","https://lexington.craigslist.org/cwg/d/lexington-real-estate-photographer/7060415429.html"
"Video camera operator","https://duluth.craigslist.org/cwg/d/duluth-video-camera-operator/7060375646.html"
"Pro Cameraman with basic sound/lighting February 3","https://orlando.craigslist.org/cwg/d/orlando-pro-cameraman-with-basic-sound/7060555662.html"
"Raspberry pi programmer needed - make video play with push of a button","https://orlando.craigslist.org/cpg/d/orange-city-raspberry-pi-programmer/7060409469.html"
"Photographer/Videographer Needed ASAP","https://miami.craigslist.org/mdc/crg/d/miami-gardens-photographer-videographer/7060242223.html"
"Need simple video/ computer game created","https://jacksonville.craigslist.org/cpg/d/jacksonville-need-simple-video-computer/7060231159.html"
"Marketing Company In Need Of Female Adult Performer For Video Campaign","https://lakeland.craigslist.org/tlg/d/winter-haven-marketing-company-in-need/7060211090.html"
"Real Estate Photographer/ Videographer Needed! ... HOMEJAB.com","https://easternshore.craigslist.org/crg/d/ocean-city-real-estate-photographer/7060437465.html"
"Looking 4 an EDITOR/PRODUCER & Possibly Future Production Partner!","https://raleigh.craigslist.org/cwg/d/raleigh-looking-4-an-editor-producer/7060139951.html"
"Hydroflask Stills and Product Video","https://austin.craigslist.org/tlg/d/austin-hydroflask-stills-and-product/7060550223.html"
"Real Estate Photographer/ Videographer Needed! ... HOMEJAB.com","https://columbus.craigslist.org/cwg/d/columbus-real-estate-photographer/7060410310.html"
"Looking for a ceramic artist to partner with!","https://losangeles.craigslist.org/lac/crg/d/venice-looking-for-ceramic-artist-to/7060154013.html"
"friendly cantonese speaker needed to help negotiate business deal","https://newyork.craigslist.org/mnh/tlg/d/new-york-friendly-cantonese-speaker/7060703507.html"
"Makeup Artist Needed for 2 Men in Drag","https://newyork.craigslist.org/brk/crg/d/brooklyn-makeup-artist-needed-for-2-men/7060640057.html"
"Female clothing models wanted","https://newyork.craigslist.org/mnh/tlg/d/new-york-female-clothing-models-wanted/7060529617.html"
"Looking to hire business Rep (Work from home)","https://newhaven.craigslist.org/tlg/d/hamden-looking-to-hire-business-rep/7060407727.html"
"Architect Drafter Draftsman Architectural Plans & Drawings","https://longisland.craigslist.org/crg/d/farmingville-architect-drafter/7060363235.html"
"Business Ambassador","https://newyork.craigslist.org/mnh/cpg/d/new-york-business-ambassador/7060327444.html"
"Artist wanted","https://saltlakecity.craigslist.org/crg/d/salt-lake-city-artist-wanted/7060218547.html"
"Small Business Loan Affiliates Needed – Potential $2-4K per week","https://sacramento.craigslist.org/cpg/d/sacramento-small-business-loan/7060662813.html"
"Artist needs a professional 10-15 second YouTube Commercial shot.","https://sfbay.craigslist.org/eby/crg/d/san-francisco-artist-needs-professional/7060469899.html"
"Get Paid to Add Local Businesses to Database- Work from Home","https://charlotte.craigslist.org/cpg/d/hillsborough-get-paid-to-add-local/7060688282.html"
"Management Firm and Label Seeking Female Artist and Country Band","https://nashville.craigslist.org/tlg/d/antioch-management-firm-and-label/7060484061.html"
"Small Business Loan Affiliates Needed – Potential $2-4K per week","https://chicago.craigslist.org/chc/cpg/d/chicago-small-business-loan-affiliates/7060660385.html"
"Get Paid to Add Local Businesses to Database - Work from Home","https://cedarrapids.craigslist.org/cpg/d/cedar-rapids-get-paid-to-add-local/7060302680.html"
"Assistant to artist","https://centralmich.craigslist.org/crg/d/lansing-assistant-to-artist/7060467693.html"
"Small Business Loan Affiliates Needed – Potential $2-4K per week","https://houston.craigslist.org/cpg/d/kingwood-small-business-loan-affiliates/7060664576.html"
"Need a person for a 10 min scripted phone call","https://portland.craigslist.org/mlt/tlg/d/beaverton-need-person-for-10-min-ed/7060671557.html"
"Gen Laborer-Moving equipment","https://sanantonio.craigslist.org/cwg/d/san-antonio-gen-laborer-moving-equipment/7060402886.html"
"Social Media Help","https://palmsprings.craigslist.org/cpg/d/palm-springs-social-media-help/7060719301.html"
"Looking for New young fresh faces for Modeling portfolio development","https://losangeles.craigslist.org/lac/tlg/d/pomona-looking-for-new-young-fresh/7060683673.html"
"4 Females models wanted. No Major experience needed","https://losangeles.craigslist.org/lac/tlg/d/los-angeles-4-females-models-wanted-no/7060645171.html"
"Two Jobs: Voice Modeling From Home- Traveling Voice Over Actors","https://sandiego.craigslist.org/csd/tlg/d/san-diego-two-jobs-voice-modeling-from/7060598293.html"
"Female Models Needed","https://losangeles.craigslist.org/lac/tlg/d/los-angeles-female-models-needed/7060580608.html"
"MALE MODELS FOR  PRINT ADS  !!!!","https://losangeles.craigslist.org/lac/tlg/d/beverly-hills-male-models-for-print-ads/7060560506.html"
"Earn $50 in 15 minutes | Models Needed","https://losangeles.craigslist.org/lac/tlg/d/los-angeles-earn-50-in-15-minutes/7060559866.html"
"FEMALE AND MALE MODELS WANTED","https://losangeles.craigslist.org/wst/crg/d/los-angeles-female-and-male-models/7060556070.html"
"Female Foot Model needed","https://palmsprings.craigslist.org/tlg/d/palm-desert-female-foot-model-needed/7060390395.html"
"Male and Female Models/Actors Needed","https://losangeles.craigslist.org/lac/tlg/d/los-angeles-male-and-female-models/7060351227.html"
"Looking for Non Professional Photo Models","https://orangecounty.craigslist.org/crg/d/huntington-beach-looking-for-non/7060344376.html"
"Model Wanted","https://losangeles.craigslist.org/lac/tlg/d/los-angeles-model-wanted/7060250617.html"
"Seeking Uninhibited Model","https://roseburg.craigslist.org/tlg/d/winchester-seeking-uninhibited-model/7060683617.html"
"Pregnant Model with Tattoos and/or Piercings $1k to $1500","https://portland.craigslist.org/mlt/crg/d/portland-pregnant-model-with-tattoos/7060510126.html"
"Model needed for Vintage Fashion Company (Brooklyn)","https://newyork.craigslist.org/brk/tlg/d/brooklyn-model-needed-for-vintage/7060677343.html"
"$ 200.00 ---> Build A SOCIAL MEDIA BOT","https://newyork.craigslist.org/mnh/cpg/d/new-york-build-social-media-bot/7060665762.html"
"Size Inclusive Models Needed!!!","https://newyork.craigslist.org/mnh/tlg/d/new-york-size-inclusive-models-needed/7060628186.html"
"hair cut model wanted (January 25th)","https://newyork.craigslist.org/brk/tlg/d/brooklyn-hair-cut-model-wanted-january/7060544321.html"
"Photographer Needed for Travel Instagrammer","https://newyork.craigslist.org/mnh/crg/d/new-york-photographer-needed-for-travel/7060530921.html"
"Social Media and Marketing Guru","https://newyork.craigslist.org/que/cpg/d/new-york-social-media-and-marketing-guru/7060504396.html"
"Modeling Gig - Lingerie","https://newyork.craigslist.org/que/crg/d/forest-hills-modeling-gig-lingerie/7060449682.html"
"FEMALE FIT MODEL REQUIRED NYC","https://newyork.craigslist.org/mnh/tlg/d/brooklyn-female-fit-model-required-nyc/7060388329.html"
"Models for Art Photography","https://newyork.craigslist.org/brk/crg/d/brooklyn-models-for-art-photography/7060287132.html"
"Social Media Manager Wanted (PT/Freelance)","https://newyork.craigslist.org/mnh/wrg/d/new-york-social-media-manager-wanted-pt/7060265614.html"
"female model needed - Plus and big   size only","https://newjersey.craigslist.org/tlg/d/hackensack-female-model-needed-plus-and/7060244956.html"
"Adult Female Models Wanted","https://newyork.craigslist.org/mnh/tlg/d/new-york-adult-female-models-wanted/7060215539.html"
"looking for models for test shoots","https://newyork.craigslist.org/brk/tlg/d/brooklyn-looking-for-models-for-test/7060109362.html"
"3-5 Female Fashion Models Needed for Photoshoot This Summer","https://newyork.craigslist.org/mnh/tlg/d/new-york-3-5-female-fashion-models/7060089817.html"
"3-5 Female Models Needed for Fashion Photoshoot","https://longisland.craigslist.org/tlg/d/holbrook-3-5-female-models-needed-for/7060088542.html"
"Extra $$ on the side: Work From Home Social Media (Must be Tech Savvy)","https://sfbay.craigslist.org/scz/cpg/d/santa-cruz-extra-on-the-side-work-from/7060711955.html"
"Looking for female models.","https://stockton.craigslist.org/tlg/d/pittsburg-looking-for-female-models/7060667745.html"
"Women Models needed - athletic","https://sfbay.craigslist.org/sby/tlg/d/san-jose-women-models-needed-athletic/7060483970.html"
"Social Media Manager (PT Freelancer)","https://sfbay.craigslist.org/pen/wrg/d/los-altos-social-media-manager-pt/7060263030.html"
"Nude Figure Model Needed","https://nashville.craigslist.org/tlg/d/franklin-nude-figure-model-needed/7060675751.html"
"Instagram (IG)/TikTok Influencer for Hair Product Daily Dose Leave-In","https://atlanta.craigslist.org/atl/tlg/d/atlanta-instagram-ig-tiktok-influencer/7060615185.html"
"Female natural/Afro textured hair models","https://cincinnati.craigslist.org/tlg/d/cincinnati-female-natural-afro-textured/7060427932.html"
"MALE MODELS (16-25) SUMMER FASHION","https://atlanta.craigslist.org/atl/tlg/d/atlanta-male-models-summer-fashion/7060409792.html"
"Audition for Models and Actors","https://chicago.craigslist.org/chc/tlg/d/chicago-audition-for-models-and-actors/7060145365.html"
"Seeking Amateur Model","https://minneapolis.craigslist.org/ank/tlg/d/minneapolis-seeking-amateur-model/7060414721.html"
"Adult Entertainment Girls/Models","https://miami.craigslist.org/mdc/tlg/d/miami-adult-entertainment-girls-models/7060678332.html"
"models, models, models, you're driving me crazy!","https://sarasota.craigslist.org/tlg/d/sarasota-models-models-models-youre/7060672835.html"
"Plus Sized Models needed (L woman/XL man)","https://miami.craigslist.org/brw/tlg/d/coral-springs-plus-sized-models-needed/7060605163.html"
"CALLING ALL MODELS & DANCERS 2020!!","https://miami.craigslist.org/mdc/cwg/d/miami-calling-all-models-dancers-2020/7060534913.html"
"Help with facebook add's","https://sarasota.craigslist.org/cpg/d/sarasota-help-with-facebook-adds/7060339652.html"
"Haitian Creole - English Interpreter Needed","https://orlando.craigslist.org/wrg/d/orlando-haitian-creole-english/7060232548.html"
"Models wanted JAN 23 - for Product Demo Video Shoot","https://miami.craigslist.org/mdc/tlg/d/miami-models-wanted-jan-23-for-product/7060192264.html"
"Social Media Manager (PT Freelancer)","https://raleigh.craigslist.org/wrg/d/chapel-hill-social-media-manager-pt/7060261143.html"
"Looking for female models","https://washingtondc.craigslist.org/nva/crg/d/mc-lean-looking-for-female-models/7060199219.html"
"Male Model Needed for Lifestyle Product Photo - $50 for 30min","https://austin.craigslist.org/tlg/d/buda-male-model-needed-for-lifestyle/7060634989.html"
"Casting for Models and Contestants","https://houston.craigslist.org/tlg/d/houston-casting-for-models-and/7060559063.html"
"Female Models","https://sanantonio.craigslist.org/tlg/d/san-antonio-female-models/7060498451.html"
"Restored Trucks Models","https://houston.craigslist.org/tlg/d/houston-restored-trucks-models/7060387751.html"
"Social Media Manager (PT Freelancer)","https://austin.craigslist.org/wrg/d/austin-social-media-manager-pt/7060264489.html"
"Attractive Female Models ages 24 to 45","https://albuquerque.craigslist.org/tlg/d/albuquerque-attractive-female-models/7060459697.html"
"Female Adult Model Needed","https://akroncanton.craigslist.org/tlg/d/canton-female-adult-model-needed/7060686679.html"
"Seeking Festival & Event Models","https://akroncanton.craigslist.org/tlg/d/akron-seeking-festival-event-models/7060321510.html"
"Mobile App Startup- Looking for Interns","https://losangeles.craigslist.org/lac/crg/d/glendale-mobile-app-startup-looking-for/7060707891.html"
"iOS app beta test environment needed","https://losangeles.craigslist.org/wst/cpg/d/hermosa-beach-ios-app-beta-test/7060631160.html"
"Product Review Writers NEEDED","https://losangeles.craigslist.org/lac/wrg/d/los-angeles-product-review-writers/7060591700.html"
"Automotive Shop Assistant / Marketing Associate","https://inlandempire.craigslist.org/cpg/d/ontario-automotive-shop-assistant/7060585089.html"
"Christ's Kingdom computer/writer assist.-Potential live in with allow.","https://inlandempire.craigslist.org/cpg/d/chatsworth-christs-kingdom-computer/7060541412.html"
"Apple Genius","https://phoenix.craigslist.org/nph/cpg/d/paradise-valley-apple-genius/7060531707.html"
"Full Stack Developer/Musician","https://losangeles.craigslist.org/lac/cpg/d/los-angeles-full-stack-developer/7060491954.html"
"Welding/Fabricating Apprenticeship offered/Driver","https://losangeles.craigslist.org/lac/crg/d/south-gate-welding-fabricating/7060457332.html"
"Personal Assistant: Household & Office Admin/Marketing","https://palmsprings.craigslist.org/cpg/d/palm-springs-personal-assistant/7060356858.html"
"We're Hiring: Opinion Writers for Health/Beauty (remote position)","https://sandiego.craigslist.org/csd/wrg/d/lemon-grove-were-hiring-opinion-writers/7059846488.html"
"Seeking: Previous Network Marketing Distributors For Paid Focus Group","https://orangecounty.craigslist.org/cwg/d/foothill-ranch-seeking-previous-network/7060252652.html"
"Consultant or writing partner x2 (psychology; law enforcement)","https://losangeles.craigslist.org/wst/wrg/d/los-angeles-consultant-or-writing/7060109795.html"
"FASHION BRAND MARKETING INTERN NEEDED - Unpaid","https://newyork.craigslist.org/mnh/crg/d/new-york-fashion-brand-marketing-intern/7060618773.html"
"Looking for reviewer to help write positive reviews for our events","https://newyork.craigslist.org/brk/wrg/d/middle-village-looking-for-reviewer-to/7060365544.html"
"Android App Developer - Immediate","https://newyork.craigslist.org/mnh/cpg/d/new-york-android-app-developer-immediate/7060271298.html"
"Musical Theater writer looking a Hip Hop collaborator","https://newyork.craigslist.org/mnh/tlg/d/new-york-musical-theater-writer-looking/7060129297.html"
"User research (ages 13-25) for an iPhone app","https://sfbay.craigslist.org/sfc/tlg/d/san-francisco-user-research-ages-for-an/7060617922.html"
"PHP/SYMFONY Experienced","https://sfbay.craigslist.org/eby/cpg/d/berkeley-php-symfony-experienced/7060143959.html"
"Limited TIME ONLY / Seeking App feedback PAID","https://atlanta.craigslist.org/atl/cpg/d/chicago-limited-time-only-seeking-app/7060548834.html"
"Seeking: Previous Network Marketing Distributors For Paid Focus Group","https://charlotte.craigslist.org/cwg/d/charlotte-seeking-previous-network/7060237214.html"
"App Developer","https://spokane.craigslist.org/cpg/d/spokane-app-developer/7060210462.html"
"Computer-based job working from home. (Searching applicants)","https://milwaukee.craigslist.org/cpg/d/oshkosh-computer-based-job-working-from/7060272330.html"
"Hiring Writer for Marco Island Eco Tourism and Naturalist Blog Posts","https://fortmyers.craigslist.org/col/wrg/d/bonita-springs-hiring-writer-for-marco/7060295819.html"
"Appointment Setters Wanted","https://spacecoast.craigslist.org/cpg/d/melbourne-appointment-setters-wanted/7060234677.html"
"Marketing Specialist for Portrait Studio Needed! Commission Based","https://baltimore.craigslist.org/crg/d/baltimore-marketing-specialist-for/7060260972.html"
"New Chicano publication seeking writers in food, culture, and politics","https://houston.craigslist.org/wrg/d/houston-new-chicano-publication-seeking/7060649617.html"
"Limited TIME ONLY / Seeking App feedback PAID","https://austin.craigslist.org/cpg/d/chicago-limited-time-only-seeking-app/7060546943.html"
"$50/2 hours for Spanish Interpreter tomorrow on 1/22 in Commerce","https://losangeles.craigslist.org/lac/wrg/d/los-angeles-50-2-hours-for-spanish/7060482881.html"
"Domestic/Computer help needed","https://portland.craigslist.org/mlt/cpg/d/portland-domestic-computer-help-needed/7060707609.html"
"Seeking Science Fiction Ghostwriters - work from home","https://hartford.craigslist.org/wrg/d/west-hartford-seeking-science-fiction/7060666890.html"
"Need a translator for Berber dialects and Arabic please","https://newyork.craigslist.org/mnh/wrg/d/new-york-need-translator-for-berber/7060457857.html"
"Mystery Ghostwriter Needed","https://newyork.craigslist.org/brk/wrg/d/brooklyn-mystery-ghostwriter-needed/7060296606.html"
"French Bulldog Needed for Video Shoot","https://newyork.craigslist.org/brk/tlg/d/brooklyn-french-bulldog-needed-for/7060154903.html"
"Seeking Science Fiction Ghostwriters - work from home","https://saltlakecity.craigslist.org/wrg/d/salt-lake-city-seeking-science-fiction/7060666366.html"
"Seeking Science Fiction Ghostwriters - work from home","https://buffalo.craigslist.org/wrg/d/buffalo-seeking-science-fiction/7060668262.html"
"Short Term Computer Scanning Work   ($20/hr)","https://sfbay.craigslist.org/sby/cpg/d/san-jose-short-term-computer-scanning/7060692012.html"
"Seeking Science Fiction Ghostwriters - work from home","https://louisville.craigslist.org/wrg/d/louisville-seeking-science-fiction/7060665691.html"
"Seeking Science Fiction Ghostwriters - work from home","https://milwaukee.craigslist.org/wrg/d/milwaukee-seeking-science-fiction/7060659951.html"
"Seeking Science Fiction Ghostwriters - work from home","https://jacksonville.craigslist.org/wrg/d/jacksonville-beach-seeking-science/7060661228.html"
"Seeking Science Fiction Ghostwriters - work from home","https://richmond.craigslist.org/wrg/d/richmond-seeking-science-fiction/7060665146.html"
"$30/Hour, Remote Task for Spanish Speakers","https://austin.craigslist.org/wrg/d/austin-30-hour-remote-task-for-spanish/7060312760.html"
"In search of cat for thesis film","https://cosprings.craigslist.org/tlg/d/denver-in-search-of-cat-for-thesis-film/7060677156.html"
"Seeking Science Fiction Ghostwriters - work from home","https://oklahomacity.craigslist.org/wrg/d/tuttle-seeking-science-fiction/7060661966.html"
"Looking for Admin with Good Computer Skills.","https://springfield.craigslist.org/cpg/d/springfield-looking-for-admin-with-good/7060613483.html"
"Need someone who can do all 3 - Videography/Editing/Motion Graphics","https://losangeles.craigslist.org/wst/cwg/d/los-angeles-need-someone-who-can-do-all/7060382240.html"
"Seeking a Fulltime Video Editor W| Motion Graphics Experiecne","https://newyork.craigslist.org/que/crg/d/east-elmhurst-seeking-fulltime-video/7060355053.html"
"Looking for 2D animator for small animation","https://newyork.craigslist.org/brk/crg/d/brooklyn-looking-for-2d-animator-for/7060135055.html"
"Food, Music, Podcasts & Video! In Search Of Rockstar Web Designer","https://nashville.craigslist.org/cpg/d/chicago-food-music-podcasts-video-in/7060259264.html"
"Need indie artist to make custom Beanie Baby style stuffed animals","https://losangeles.craigslist.org/lac/crg/d/los-angeles-need-indie-artist-to-make/7060403650.html"
"Need someone who can do all 3 - Videography/Editing/Motion Graphics","https://losangeles.craigslist.org/wst/cwg/d/los-angeles-need-someone-who-can-do-all/7060382240.html"
"Looking for content creator/graphic designer","https://sandiego.craigslist.org/esd/crg/d/san-diego-looking-for-content-creator/7060365986.html"
"Weekend Graphic Designer","https://longisland.craigslist.org/crg/d/great-neck-weekend-graphic-designer/7060533866.html"
"Seeking a Fulltime Video Editor W| Motion Graphics Experiecne","https://newyork.craigslist.org/que/crg/d/east-elmhurst-seeking-fulltime-video/7060355053.html"
"Looking for C4D or 3D artist to make a simple cross section landscape.","https://newyork.craigslist.org/brk/crg/d/brooklyn-looking-for-c4d-or-3d-artist/7060130080.html"
"You Tube Graphics Wizard For Entrepreneur To Meet In Person Once/Week","https://sfbay.craigslist.org/eby/cpg/d/oakland-you-tube-graphics-wizard-for/7060624709.html"
"Needed Illustrator (or comic book artist)","https://atlanta.craigslist.org/atl/crg/d/atlanta-needed-illustrator-or-comic/7060576602.html"
"Video & VFX Editor - for Small Budget Sci Fi Projects","https://losangeles.craigslist.org/sfv/cwg/d/burbank-video-vfx-editor-for-small/7060625166.html"
"Female Models wanted for Viral video","https://losangeles.craigslist.org/lac/tlg/d/glendale-female-models-wanted-for-viral/7060650633.html"
"Female clothing models wanted","https://newyork.craigslist.org/mnh/tlg/d/new-york-female-clothing-models-wanted/7060529617.html"
"Looking for New young fresh faces for Modeling portfolio development","https://losangeles.craigslist.org/lac/tlg/d/pomona-looking-for-new-young-fresh/7060683673.html"
"Social Media and Marketing Guru","https://newyork.craigslist.org/que/cpg/d/new-york-social-media-and-marketing-guru/7060504396.html"
"Writing WEB Content","https://sfbay.craigslist.org/eby/wrg/d/richmond-writing-web-content/7060443898.html"
"Marketing Company In Need Of Female Adult Performer For Video Campaign","https://lakeland.craigslist.org/tlg/d/winter-haven-marketing-company-in-need/7060211090.html"
"Creative student writer for sports website","https://richmond.craigslist.org/wrg/d/richmond-creative-student-writer-for/7060399875.html"
"Christ's Kingdom computer/writer assist.-Potential live in with allow.","https://inlandempire.craigslist.org/cpg/d/chatsworth-christs-kingdom-computer/7060541412.html"
"Computer-based job working from home. (Searching applicants)","https://milwaukee.craigslist.org/cpg/d/oshkosh-computer-based-job-working-from/7060272330.html"
"Need simple video/ computer game created","https://jacksonville.craigslist.org/cpg/d/jacksonville-need-simple-video-computer/7060231159.html"
